BOOKINGSORDERDATE,BOOKINGSSTATUS,PRODUCTCODE,CUSTOMERNAME,BOOKINGSCOUNTRY,BOOKINGSTERRITORY,BOOKINGSQUANTITYORDERED
3/2/2004 0:00,Shipped,S18_2248,"Saveley & Henriot, Co.",France,EMEA,2846
4/13/2004 0:00,Shipped,S18_2248,Mini Caravy,France,EMEA,4794
8/17/2004 0:00,Shipped,S18_2248,Amica Models & Co.,Italy,EMEA,3148
9/1/2004 0:00,Shipped,S18_2248,Handji Gifts& Co,Singapore,APAC,3458
10/6/2004 0:00,Shipped,S18_2248,"Iberia Gift Imports, Corp.",Spain,EMEA,4510
10/21/2004 0:00,Shipped,S18_2248,Mini Gifts Distributors Ltd.,USA,NA,3668
11/17/2004 0:00,Shipped,S18_2248,"AV Stores, Co.",UK,EMEA,6402
11/25/2004 0:00,Shipped,S18_2248,Marseille Mini Autos,France,EMEA,4552
1/12/2005 0:00,Resolved,S18_2248,Toys4GrownUps.com,USA,NA,17768
2/10/2005 0:00,Shipped,S18_2248,Euro Shopping Channel,Spain,EMEA,2662
4/22/2005 0:00,On Hold,S18_2248,The Sharp Gifts Warehouse,USA,NA,6102
5/29/2005 0:00,In Process,S18_2248,Souveniers And Things Co.,Australia,APAC,4576
1/31/2003 0:00,Shipped,S18_2319,Euro Shopping Channel,Spain,EMEA,7544
4/1/2003 0:00,Shipped,S18_2319,"La Corne D'abondance, Co.",France,EMEA,8328
6/3/2003 0:00,Shipped,S18_2319,Muscle Machine Inc,USA,NA,12590
8/1/2003 0:00,Shipped,S18_2319,Suominen Souveniers,Finland,EMEA,12574
9/21/2003 0:00,Shipped,S18_2319,"Oulu Toy Supplies, Inc.",Finland,EMEA,10824
10/22/2003 0:00,Shipped,S18_2319,"Dragon Souveniers, Ltd.",Singapore,Japan,11968
11/6/2003 0:00,Shipped,S18_2319,"Stylish Desk Decors, Co.",UK,EMEA,11782
11/14/2003 0:00,Shipped,S18_2319,"Iberia Gift Imports, Corp.",Spain,EMEA,11968
11/25/2003 0:00,Shipped,S18_2319,Mini Classics,USA,NA,7216
12/9/2003 0:00,Shipped,S18_2319,Diecast Collectables,USA,NA,11504
3/11/2004 0:00,Shipped,S18_2319,Mini Gifts Distributors Ltd.,USA,NA,7530
5/5/2004 0:00,Shipped,S18_2319,Euro Shopping Channel,Spain,EMEA,4318
6/15/2004 0:00,Shipped,S18_2319,Handji Gifts& Co,Singapore,APAC,6758
7/20/2004 0:00,Shipped,S18_2319,Mini Gifts Distributors Ltd.,USA,NA,10186
8/19/2004 0:00,Shipped,S18_2319,Diecast Classics Inc.,USA,NA,11546
9/8/2004 0:00,Shipped,S18_2319,Land of Toys Inc.,USA,NA,9056
10/13/2004 0:00,Shipped,S18_2319,Marta's Replicas Co.,USA,NA,9632
10/22/2004 0:00,Shipped,S18_2319,Canadian Gift Exchange Network,Canada,NA,6832
11/5/2004 0:00,Shipped,S18_2319,Vitachrome Inc.,USA,NA,2472
11/19/2004 0:00,On Hold,S18_2319,"Volvo Model Replicas, Co",Sweden,EMEA,11628
12/1/2004 0:00,Shipped,S18_2319,Muscle Machine Inc,USA,NA,10446
12/10/2004 0:00,Shipped,S18_2319,Euro Shopping Channel,Spain,EMEA,1456
1/20/2005 0:00,Shipped,S18_2319,"Anna's Decorations, Ltd",Australia,APAC,7898
2/22/2005 0:00,Shipped,S18_2319,Euro Shopping Channel,Spain,EMEA,7686
5/3/2005 0:00,Shipped,S18_2319,Euro Shopping Channel,Spain,EMEA,10996
5/31/2005 0:00,In Process,S18_2319,La Rochelle Gifts,France,EMEA,7554
1/9/2003 0:00,Shipped,S18_2325,"Blauer See Auto, Co.",Germany,EMEA,7564
3/18/2003 0:00,Shipped,S18_2325,"AV Stores, Co.",UK,EMEA,7718
5/21/2003 0:00,Shipped,S18_2325,Signal Gift Stores,USA,NA,8862
9/12/2003 0:00,Shipped,S18_2325,Signal Collectibles Ltd.,USA,NA,9900
10/18/2003 0:00,Shipped,S18_2325,Corporate Gift Ideas Co.,USA,NA,8598
11/5/2003 0:00,Shipped,S18_2325,Rovelli Gifts,Italy,EMEA,8984
11/12/2003 0:00,Shipped,S18_2325,Mini Gifts Distributors Ltd.,USA,NA,4424
11/21/2003 0:00,Shipped,S18_2325,"Australian Collectables, Ltd",Australia,APAC,9284
12/2/2003 0:00,Shipped,S18_2325,Muscle Machine Inc,USA,NA,6412
1/26/2004 0:00,Shipped,S18_2325,"Corrida Auto Replicas, Ltd",Spain,EMEA,7208
3/2/2004 0:00,Shipped,S18_2325,"Saveley & Henriot, Co.",France,EMEA,14034
4/26/2004 0:00,Shipped,S18_2325,Diecast Collectables,USA,NA,12308
8/17/2004 0:00,Shipped,S18_2325,Amica Models & Co.,Italy,EMEA,9500
9/1/2004 0:00,Shipped,S18_2325,Handji Gifts& Co,Singapore,APAC,7644
10/11/2004 0:00,Shipped,S18_2325,Auto Assoc. & Cie.,France,EMEA,4880
10/21/2004 0:00,Shipped,S18_2325,Mini Gifts Distributors Ltd.,USA,NA,9458
11/4/2004 0:00,Shipped,S18_2325,Online Diecast Creations Co.,USA,NA,25072
11/17/2004 0:00,Shipped,S18_2325,"AV Stores, Co.",UK,EMEA,4528
11/25/2004 0:00,Shipped,S18_2325,Marseille Mini Autos,France,EMEA,7856
12/9/2004 0:00,Shipped,S18_2325,Lyon Souveniers,France,EMEA,7260
1/12/2005 0:00,Resolved,S18_2325,Toys4GrownUps.com,USA,NA,8392
2/16/2005 0:00,Shipped,S18_2325,Euro Shopping Channel,Spain,EMEA,9862
3/4/2005 0:00,Shipped,S18_2325,Mini Gifts Distributors Ltd.,USA,NA,6136
4/23/2005 0:00,Shipped,S18_2325,Handji Gifts& Co,Singapore,APAC,1570
5/29/2005 0:00,In Process,S18_2325,Souveniers And Things Co.,Australia,APAC,9954
1/29/2003 0:00,Shipped,S18_2432,Baane Mini Imports,Norway,EMEA,2378
4/1/2003 0:00,Shipped,S18_2432,"La Corne D'abondance, Co.",France,EMEA,6180
5/28/2003 0:00,Shipped,S18_2432,"Corrida Auto Replicas, Ltd",Spain,EMEA,5590
7/24/2003 0:00,Shipped,S18_2432,Technics Stores Inc.,USA,NA,5702
9/21/2003 0:00,Shipped,S18_2432,"Oulu Toy Supplies, Inc.",Finland,EMEA,5402
10/22/2003 0:00,Shipped,S18_2432,"Dragon Souveniers, Ltd.",Singapore,Japan,4408
11/6/2003 0:00,Shipped,S18_2432,"Stylish Desk Decors, Co.",UK,EMEA,5680
11/14/2003 0:00,Shipped,S18_2432,"Iberia Gift Imports, Corp.",Spain,EMEA,5294
11/25/2003 0:00,Shipped,S18_2432,"Saveley & Henriot, Co.",France,EMEA,6344
12/9/2003 0:00,Shipped,S18_2432,Diecast Collectables,USA,NA,5170
2/4/2004 0:00,Shipped,S18_2432,Handji Gifts& Co,Singapore,APAC,4296
3/11/2004 0:00,Shipped,S18_2432,Mini Gifts Distributors Ltd.,USA,NA,3334
5/5/2004 0:00,Shipped,S18_2432,Euro Shopping Channel,Spain,EMEA,3718
6/15/2004 0:00,Shipped,S18_2432,Handji Gifts& Co,Singapore,APAC,2952
7/20/2004 0:00,Shipped,S18_2432,Mini Gifts Distributors Ltd.,USA,NA,3464
8/19/2004 0:00,Shipped,S18_2432,Diecast Classics Inc.,USA,NA,3348
9/8/2004 0:00,Shipped,S18_2432,Scandinavian Gift Ideas,Sweden,EMEA,3000
10/13/2004 0:00,Shipped,S18_2432,Marta's Replicas Co.,USA,NA,4384
10/22/2004 0:00,Shipped,S18_2432,Canadian Gift Exchange Network,Canada,NA,3594
11/4/2004 0:00,Shipped,S18_2432,Online Diecast Creations Co.,USA,NA,4284
11/19/2004 0:00,On Hold,S18_2432,"Volvo Model Replicas, Co",Sweden,EMEA,4172
11/29/2004 0:00,Shipped,S18_2432,"Australian Collectors, Co.",Australia,APAC,13668
12/10/2004 0:00,Shipped,S18_2432,Mini Gifts Distributors Ltd.,USA,NA,5082
1/20/2005 0:00,Shipped,S18_2432,"Anna's Decorations, Ltd",Australia,APAC,4260
2/17/2005 0:00,Shipped,S18_2432,Corporate Gift Ideas Co.,USA,NA,3402
3/9/2005 0:00,Shipped,S18_2432,"Anna's Decorations, Ltd",Australia,APAC,3388
5/3/2005 0:00,Shipped,S18_2432,Euro Shopping Channel,Spain,EMEA,5826
5/31/2005 0:00,In Process,S18_2432,La Rochelle Gifts,France,EMEA,1870
2/17/2003 0:00,Shipped,S18_2581,Rovelli Gifts,Italy,EMEA,6146
4/29/2003 0:00,Shipped,S18_2581,"Australian Collectors, Co.",Australia,APAC,4164
6/27/2003 0:00,Shipped,S18_2581,Euro Shopping Channel,Spain,EMEA,6788
8/25/2003 0:00,Shipped,S18_2581,Toys4GrownUps.com,USA,NA,5118
10/28/2003 0:00,Shipped,S18_2581,Technics Stores Inc.,USA,NA,2980
1/12/2004 0:00,Shipped,S18_2581,Osaka Souveniers Co.,Japan,Japan,7688
2/20/2004 0:00,Shipped,S18_2581,"Australian Collectors, Co.",Australia,APAC,9448
4/2/2004 0:00,Shipped,S18_2581,"Royal Canadian Collectables, Ltd.",Canada,NA,3648
5/11/2004 0:00,Shipped,S18_2581,The Sharp Gifts Warehouse,USA,NA,5336
6/28/2004 0:00,Shipped,S18_2581,Gift Depot Inc.,USA,NA,5686
7/23/2004 0:00,Shipped,S18_2581,La Rochelle Gifts,France,EMEA,6326
8/21/2004 0:00,Shipped,S18_2581,"Norway Gifts By Mail, Co.",Norway,EMEA,4452
9/16/2004 0:00,Shipped,S18_2581,"Clover Collections, Co.",Ireland,EMEA,4138
10/15/2004 0:00,Shipped,S18_2581,Mini Classics,USA,NA,4470
11/2/2004 0:00,Shipped,S18_2581,Diecast Classics Inc.,USA,NA,6232
11/10/2004 0:00,Resolved,S18_2581,Danish Wholesale Imports,Denmark,EMEA,9562
11/23/2004 0:00,Shipped,S18_2581,"Tokyo Collectables, Ltd",Japan,Japan,5620
12/4/2004 0:00,Shipped,S18_2581,Gift Ideas Corp.,USA,NA,7030
2/2/2005 0:00,Shipped,S18_2581,"Australian Gift Network, Co",Australia,APAC,5818
3/1/2005 0:00,Resolved,S18_2581,Euro Shopping Channel,Spain,EMEA,3140
3/30/2005 0:00,Shipped,S18_2581,Reims Collectables,France,EMEA,5226
4/3/2005 0:00,On Hold,S18_2581,Tekni Collectables Inc.,USA,NA,6386
5/10/2005 0:00,Shipped,S18_2581,L'ordine Souveniers,Italy,EMEA,2964
2/24/2003 0:00,Shipped,S18_2625,Land of Toys Inc.,USA,NA,4110
4/29/2003 0:00,Shipped,S18_2625,"Australian Collectors, Co.",Australia,APAC,5348
7/1/2003 0:00,Shipped,S18_2625,Lyon Souveniers,France,EMEA,3706
8/25/2003 0:00,Shipped,S18_2625,Toys4GrownUps.com,USA,NA,2980
10/10/2003 0:00,Shipped,S18_2625,Corporate Gift Ideas Co.,USA,NA,4324
10/28/2003 0:00,Shipped,S18_2625,Technics Stores Inc.,USA,NA,5628
11/11/2003 0:00,Shipped,S18_2625,Daedalus Designs Imports,France,EMEA,3210
11/18/2003 0:00,Shipped,S18_2625,Herkku Gifts,Norway,EMEA,4186
12/1/2003 0:00,Shipped,S18_2625,Mini Wheels Co.,USA,NA,3888
1/12/2004 0:00,Shipped,S18_2625,Osaka Souveniers Co.,Japan,Japan,3972
2/20/2004 0:00,Shipped,S18_2625,"Australian Collectors, Co.",Australia,APAC,3390
4/3/2004 0:00,Shipped,S18_2625,Motor Mint Distributors Inc.,USA,NA,2562
5/18/2004 0:00,Shipped,S18_2625,Tekni Collectables Inc.,USA,NA,3548
6/28/2004 0:00,Shipped,S18_2625,Gift Depot Inc.,USA,NA,3994
7/23/2004 0:00,Shipped,S18_2625,La Rochelle Gifts,France,EMEA,4706
8/27/2004 0:00,Shipped,S18_2625,Marta's Replicas Co.,USA,NA,1962
9/27/2004 0:00,Shipped,S18_2625,Atelier graphique,France,EMEA,3100
10/15/2004 0:00,Shipped,S18_2625,Mini Classics,USA,NA,3542
11/2/2004 0:00,Shipped,S18_2625,Diecast Classics Inc.,USA,NA,4426
11/15/2004 0:00,Shipped,S18_2625,Land of Toys Inc.,USA,NA,10532
11/23/2004 0:00,Shipped,S18_2625,"Tokyo Collectables, Ltd",Japan,Japan,3728
1/5/2005 0:00,Shipped,S18_2625,Technics Stores Inc.,USA,NA,2284
2/2/2005 0:00,Shipped,S18_2625,"Australian Gift Network, Co",Australia,APAC,2344
3/3/2005 0:00,Shipped,S18_2625,Scandinavian Gift Ideas,Sweden,EMEA,13962
4/7/2005 0:00,Shipped,S18_2625,Auto Canal Petit,France,EMEA,6128
5/13/2005 0:00,Disputed,S18_2625,Euro Shopping Channel,Spain,EMEA,4404
1/9/2003 0:00,Shipped,S18_2795,"Blauer See Auto, Co.",Germany,EMEA,7546
3/18/2003 0:00,Shipped,S18_2795,"AV Stores, Co.",UK,EMEA,10148
5/21/2003 0:00,Shipped,S18_2795,"Australian Collectors, Co.",Australia,APAC,12966
7/16/2003 0:00,Shipped,S18_2795,Souveniers And Things Co.,Australia,APAC,15912
9/12/2003 0:00,Shipped,S18_2795,Signal Collectibles Ltd.,USA,NA,8460
10/18/2003 0:00,Shipped,S18_2795,Corporate Gift Ideas Co.,USA,NA,14418
11/5/2003 0:00,Shipped,S18_2795,Rovelli Gifts,Italy,EMEA,6904
11/12/2003 0:00,Shipped,S18_2795,Mini Gifts Distributors Ltd.,USA,NA,6094
11/21/2003 0:00,Shipped,S18_2795,"Australian Collectables, Ltd",Australia,APAC,7350
12/3/2003 0:00,Shipped,S18_2795,Euro Shopping Channel,Spain,EMEA,14984
1/26/2004 0:00,Shipped,S18_2795,"Corrida Auto Replicas, Ltd",Spain,EMEA,19068
3/2/2004 0:00,Shipped,S18_2795,"Saveley & Henriot, Co.",France,EMEA,11158
4/29/2004 0:00,Shipped,S18_2795,Euro Shopping Channel,Spain,EMEA,11900
6/4/2004 0:00,Shipped,S18_2795,Mini Caravy,France,EMEA,7452
8/17/2004 0:00,Shipped,S18_2795,Amica Models & Co.,Italy,EMEA,8910
9/3/2004 0:00,Shipped,S18_2795,Herkku Gifts,Norway,EMEA,16544
10/11/2004 0:00,Shipped,S18_2795,Auto Assoc. & Cie.,France,EMEA,7154
10/21/2004 0:00,Shipped,S18_2795,Mini Gifts Distributors Ltd.,USA,NA,7762
11/4/2004 0:00,Shipped,S18_2795,Online Diecast Creations Co.,USA,NA,11594
11/17/2004 0:00,Shipped,S18_2795,"AV Stores, Co.",UK,EMEA,2528
11/29/2004 0:00,Shipped,S18_2795,"Australian Collectors, Co.",Australia,APAC,9630
12/9/2004 0:00,Shipped,S18_2795,Lyon Souveniers,France,EMEA,8924
1/12/2005 0:00,Resolved,S18_2795,Toys4GrownUps.com,USA,NA,6066
2/16/2005 0:00,Shipped,S18_2795,Euro Shopping Channel,Spain,EMEA,1980
3/4/2005 0:00,Shipped,S18_2795,Mini Gifts Distributors Ltd.,USA,NA,4060
5/29/2005 0:00,In Process,S18_2795,Mini Gifts Distributors Ltd.,USA,NA,10866
3/10/2003 0:00,Shipped,S18_2870,Motor Mint Distributors Inc.,USA,NA,6314
5/20/2003 0:00,Shipped,S18_2870,Atelier graphique,France,EMEA,10322
7/10/2003 0:00,Shipped,S18_2870,Reims Collectables,France,EMEA,8692
9/11/2003 0:00,Shipped,S18_2870,"Anna's Decorations, Ltd",Australia,APAC,7056
10/17/2003 0:00,Shipped,S18_2870,Heintze Collectables,Denmark,EMEA,6374
11/5/2003 0:00,Shipped,S18_2870,Gift Depot Inc.,USA,NA,12046
11/12/2003 0:00,Shipped,S18_2870,Herkku Gifts,Norway,EMEA,7768
11/20/2003 0:00,Shipped,S18_2870,Online Diecast Creations Co.,USA,NA,9930
12/2/2003 0:00,Shipped,S18_2870,Muscle Machine Inc,USA,NA,8338
1/16/2004 0:00,Shipped,S18_2870,Euro Shopping Channel,Spain,EMEA,9820
2/26/2004 0:00,Shipped,S18_2870,Collectable Mini Designs Co.,USA,NA,6462
4/13/2004 0:00,Shipped,S18_2870,Mini Caravy,France,EMEA,13706
6/1/2004 0:00,Cancelled,S18_2870,"UK Collectables, Ltd.",UK,EMEA,10354
7/6/2004 0:00,Shipped,S18_2870,L'ordine Souveniers,Italy,EMEA,5648
8/6/2004 0:00,Shipped,S18_2870,Signal Gift Stores,USA,NA,8648
8/30/2004 0:00,Shipped,S18_2870,"Vida Sport, Ltd",Switzerland,EMEA,10104
10/5/2003 0:00,Shipped,S18_2870,"Norway Gifts By Mail, Co.",Norway,EMEA,6446
10/16/2004 0:00,Shipped,S18_2870,Euro Shopping Channel,Spain,EMEA,10556
11/4/2004 0:00,Shipped,S18_2870,FunGiftIdeas.com,USA,NA,5702
11/17/2004 0:00,Shipped,S18_2870,Motor Mint Distributors Inc.,USA,NA,3374
11/24/2004 0:00,Shipped,S18_2870,Reims Collectables,France,EMEA,2616
1/10/2005 0:00,Shipped,S18_2870,Royale Belge,Belgium,EMEA,12288
2/10/2005 0:00,Shipped,S18_2870,Euro Shopping Channel,Spain,EMEA,10254
4/22/2005 0:00,On Hold,S18_2870,The Sharp Gifts Warehouse,USA,NA,12772
5/17/2005 0:00,Shipped,S18_2870,Salzburg Collectables,Austria,EMEA,15390
1/29/2003 0:00,Shipped,S18_2949,Baane Mini Imports,Norway,EMEA,4484
3/24/2003 0:00,Shipped,S18_2949,"Volvo Model Replicas, Co",Sweden,EMEA,5078
5/28/2003 0:00,Shipped,S18_2949,"Corrida Auto Replicas, Ltd",Spain,EMEA,5590
7/16/2003 0:00,Shipped,S18_2949,Souveniers And Things Co.,Australia,APAC,11090
9/19/2003 0:00,Shipped,S18_2949,"Dragon Souveniers, Ltd.",Singapore,Japan,8570
10/20/2003 0:00,Shipped,S18_2949,Classic Legends Inc.,USA,NA,6658
11/6/2003 0:00,Shipped,S18_2949,"Australian Gift Network, Co",Australia,APAC,11184
11/13/2003 0:00,Shipped,S18_2949,"Classic Gift Ideas, Inc",USA,NA,6596
11/21/2003 0:00,Shipped,S18_2949,"Australian Collectables, Ltd",Australia,APAC,5218
12/5/2003 0:00,Shipped,S18_2949,Canadian Gift Exchange Network,Canada,NA,6672
1/29/2004 0:00,Shipped,S18_2949,West Coast Collectables Co.,USA,NA,11020
3/10/2004 0:00,Shipped,S18_2949,Cambridge Collectables Co.,USA,NA,5008
4/29/2004 0:00,Shipped,S18_2949,Euro Shopping Channel,Spain,EMEA,7050
6/14/2004 0:00,Shipped,S18_2949,The Sharp Gifts Warehouse,USA,NA,8814
7/19/2004 0:00,Shipped,S18_2949,Souveniers And Things Co.,Australia,APAC,5966
8/17/2004 0:00,Shipped,S18_2949,Amica Models & Co.,Italy,EMEA,10252
9/8/2004 0:00,Shipped,S18_2949,Scandinavian Gift Ideas,Sweden,EMEA,11426
10/11/2004 0:00,Shipped,S18_2949,Auto Assoc. & Cie.,France,EMEA,9226
10/21/2004 0:00,Shipped,S18_2949,Mini Gifts Distributors Ltd.,USA,NA,7422
11/4/2004 0:00,Shipped,S18_2949,Online Diecast Creations Co.,USA,NA,7048
11/18/2004 0:00,Shipped,S18_2949,Mini Wheels Co.,USA,NA,5590
11/29/2004 0:00,Shipped,S18_2949,"Australian Collectors, Co.",Australia,APAC,9628
12/10/2004 0:00,Shipped,S18_2949,Mini Gifts Distributors Ltd.,USA,NA,7144
1/20/2005 0:00,Shipped,S18_2949,Collectables For Less Inc.,USA,NA,9162
2/17/2005 0:00,Shipped,S18_2949,Corporate Gift Ideas Co.,USA,NA,8638
3/9/2005 0:00,Shipped,S18_2949,"Anna's Decorations, Ltd",Australia,APAC,2896
5/30/2005 0:00,In Process,S18_2949,Petit Auto,Belgium,EMEA,1762
1/29/2003 0:00,Shipped,S18_2957,Baane Mini Imports,Norway,EMEA,4022
3/25/2003 0:00,Shipped,S18_2957,Mini Wheels Co.,USA,NA,3602
5/28/2003 0:00,Shipped,S18_2957,"Corrida Auto Replicas, Ltd",Spain,EMEA,6780
7/16/2003 0:00,Shipped,S18_2957,Souveniers And Things Co.,Australia,APAC,2848
9/19/2003 0:00,Shipped,S18_2957,"Dragon Souveniers, Ltd.",Singapore,Japan,2998
10/20/2003 0:00,Shipped,S18_2957,Classic Legends Inc.,USA,NA,6716
11/5/2003 0:00,Shipped,S18_2957,Rovelli Gifts,Italy,EMEA,3008
11/13/2003 0:00,Shipped,S18_2957,"Classic Gift Ideas, Inc",USA,NA,5310
11/21/2003 0:00,Shipped,S18_2957,"Australian Collectables, Ltd",Australia,APAC,2488
12/5/2003 0:00,Shipped,S18_2957,Canadian Gift Exchange Network,Canada,NA,3776
1/29/2004 0:00,Shipped,S18_2957,West Coast Collectables Co.,USA,NA,3640
3/10/2004 0:00,Shipped,S18_2957,Cambridge Collectables Co.,USA,NA,5732
4/29/2004 0:00,Shipped,S18_2957,Euro Shopping Channel,Spain,EMEA,2788
6/14/2004 0:00,Shipped,S18_2957,The Sharp Gifts Warehouse,USA,NA,5264
7/16/2004 0:00,Shipped,S18_2957,Salzburg Collectables,Austria,EMEA,4036
8/17/2004 0:00,Shipped,S18_2957,Amica Models & Co.,Italy,EMEA,5908
9/8/2004 0:00,Shipped,S18_2957,Scandinavian Gift Ideas,Sweden,EMEA,3742
10/11/2004 0:00,Shipped,S18_2957,Auto Assoc. & Cie.,France,EMEA,3118
10/21/2004 0:00,Shipped,S18_2957,Mini Gifts Distributors Ltd.,USA,NA,3760
11/4/2004 0:00,Shipped,S18_2957,Online Diecast Creations Co.,USA,NA,2448
11/17/2004 0:00,Shipped,S18_2957,"AV Stores, Co.",UK,EMEA,5958
11/29/2004 0:00,Shipped,S18_2957,"Australian Collectors, Co.",Australia,APAC,4416
12/10/2004 0:00,Shipped,S18_2957,Mini Gifts Distributors Ltd.,USA,NA,6916
1/20/2005 0:00,Shipped,S18_2957,Collectables For Less Inc.,USA,NA,2474
2/17/2005 0:00,Shipped,S18_2957,Corporate Gift Ideas Co.,USA,NA,5446
3/10/2005 0:00,Shipped,S18_2957,Mini Auto Werke,Austria,EMEA,4436
5/30/2005 0:00,In Process,S18_2957,Petit Auto,Belgium,EMEA,3330
2/17/2003 0:00,Shipped,S18_3029,Rovelli Gifts,Italy,EMEA,6842
4/28/2003 0:00,Shipped,S18_3029,Salzburg Collectables,Austria,EMEA,3756
6/16/2003 0:00,Shipped,S18_3029,Auto-Moto Classics Inc.,USA,NA,7706
8/10/2003 0:00,Shipped,S18_3029,Mini Creations Ltd.,USA,NA,6884
10/6/2003 0:00,Shipped,S18_3029,"Toys of Finland, Co.",Finland,EMEA,6964
10/23/2003 0:00,Cancelled,S18_3029,Scandinavian Gift Ideas,Sweden,EMEA,6726
11/8/2003 0:00,Shipped,S18_3029,Alpha Cognac,France,EMEA,6700
11/14/2003 0:00,Shipped,S18_3029,"Double Decker Gift Stores, Ltd",UK,EMEA,5724
11/26/2003 0:00,Shipped,S18_3029,Enaco Distributors,Spain,EMEA,8072
1/9/2004 0:00,Shipped,S18_3029,"Men 'R' US Retailers, Ltd.",USA,NA,5634
2/19/2004 0:00,Shipped,S18_3029,Collectable Mini Designs Co.,USA,NA,9272
5/7/2004 0:00,Cancelled,S18_3029,Land of Toys Inc.,USA,NA,3106
6/24/2004 0:00,Cancelled,S18_3029,Euro Shopping Channel,Spain,EMEA,5394
7/21/2004 0:00,Shipped,S18_3029,Petit Auto,Belgium,EMEA,6668
8/20/2004 0:00,Shipped,S18_3029,"Royal Canadian Collectables, Ltd.",Canada,NA,4118
9/15/2004 0:00,Shipped,S18_3029,"Bavarian Collectables Imports, Co.",Germany,EMEA,4046
10/14/2004 0:00,Shipped,S18_3029,"Classic Gift Ideas, Inc",USA,NA,5172
11/1/2004 0:00,Shipped,S18_3029,giftsbymail.co.uk,UK,EMEA,3974
11/10/2004 0:00,Resolved,S18_3029,Danish Wholesale Imports,Denmark,EMEA,2292
11/22/2004 0:00,Shipped,S18_3029,Royale Belge,Belgium,EMEA,4624
12/2/2004 0:00,Shipped,S18_3029,Euro Shopping Channel,Spain,EMEA,5586
1/31/2005 0:00,Shipped,S18_3029,"Oulu Toy Supplies, Inc.",Finland,EMEA,3816
3/1/2005 0:00,Resolved,S18_3029,Euro Shopping Channel,Spain,EMEA,6882
3/30/2005 0:00,Shipped,S18_3029,Reims Collectables,France,EMEA,4046
4/1/2005 0:00,Shipped,S18_3029,The Sharp Gifts Warehouse,USA,NA,4490
5/6/2005 0:00,On Hold,S18_3029,Gifts4AllAges.com,USA,NA,6510
1/29/2003 0:00,Shipped,S18_3136,Baane Mini Imports,Norway,EMEA,5078
3/25/2003 0:00,Shipped,S18_3136,Mini Wheels Co.,USA,NA,9636
5/28/2003 0:00,Shipped,S18_3136,"Corrida Auto Replicas, Ltd",Spain,EMEA,5842
7/16/2003 0:00,Shipped,S18_3136,Souveniers And Things Co.,Australia,APAC,3602
9/19/2003 0:00,Shipped,S18_3136,"Dragon Souveniers, Ltd.",Singapore,Japan,5608
10/20/2003 0:00,Shipped,S18_3136,Classic Legends Inc.,USA,NA,9800
11/5/2003 0:00,Shipped,S18_3136,Rovelli Gifts,Italy,EMEA,5518
11/13/2003 0:00,Shipped,S18_3136,"Classic Gift Ideas, Inc",USA,NA,4976
11/21/2003 0:00,Shipped,S18_3136,"Australian Collectables, Ltd",Australia,APAC,5538
12/5/2003 0:00,Shipped,S18_3136,Canadian Gift Exchange Network,Canada,NA,7162
1/29/2004 0:00,Shipped,S18_3136,West Coast Collectables Co.,USA,NA,10570
3/10/2004 0:00,Shipped,S18_3136,Cambridge Collectables Co.,USA,NA,6362
4/29/2004 0:00,Shipped,S18_3136,Euro Shopping Channel,Spain,EMEA,6680
6/14/2004 0:00,Shipped,S18_3136,The Sharp Gifts Warehouse,USA,NA,6276
7/19/2004 0:00,Shipped,S18_3136,Souveniers And Things Co.,Australia,APAC,9550
8/17/2004 0:00,Shipped,S18_3136,Amica Models & Co.,Italy,EMEA,6012
9/8/2004 0:00,Shipped,S18_3136,Scandinavian Gift Ideas,Sweden,EMEA,5732
10/11/2004 0:00,Shipped,S18_3136,Auto Assoc. & Cie.,France,EMEA,4464
10/21/2004 0:00,Shipped,S18_3136,Mini Gifts Distributors Ltd.,USA,NA,8914
11/4/2004 0:00,Shipped,S18_3136,Online Diecast Creations Co.,USA,NA,4514
11/17/2004 0:00,Shipped,S18_3136,"AV Stores, Co.",UK,EMEA,3184
11/29/2004 0:00,Shipped,S18_3136,"Australian Collectors, Co.",Australia,APAC,9896
12/10/2004 0:00,Shipped,S18_3136,Mini Gifts Distributors Ltd.,USA,NA,10320
1/20/2005 0:00,Shipped,S18_3136,Collectables For Less Inc.,USA,NA,3956
2/17/2005 0:00,Shipped,S18_3136,Corporate Gift Ideas Co.,USA,NA,8576
3/10/2005 0:00,Shipped,S18_3136,Mini Auto Werke,Austria,EMEA,5040
5/30/2005 0:00,In Process,S18_3136,Petit Auto,Belgium,EMEA,3562
2/11/2003 0:00,Shipped,S18_3140,Danish Wholesale Imports,Denmark,EMEA,6130
4/16/2003 0:00,Shipped,S18_3140,"Dragon Souveniers, Ltd.",Singapore,Japan,7102
6/6/2003 0:00,Shipped,S18_3140,Euro Shopping Channel,Spain,EMEA,11088
8/8/2003 0:00,Shipped,S18_3140,Mini Gifts Distributors Ltd.,USA,NA,12068
9/28/2003 0:00,Shipped,S18_3140,Euro Shopping Channel,Spain,EMEA,7282
10/21/2003 0:00,Shipped,S18_3140,FunGiftIdeas.com,USA,NA,13860
11/7/2003 0:00,Shipped,S18_3140,CAF Imports,Spain,EMEA,7350
11/14/2003 0:00,Shipped,S18_3140,Mini Creations Ltd.,USA,NA,6884
11/26/2003 0:00,Shipped,S18_3140,Super Scale Inc.,USA,NA,13786
